customer_id,proxy_customer_type,proxy_score,rfm_segment,R_score,F_score,M_score,RFM_score,recency_days,number_of_invoices,active_months,total_revenue,average_invoice_total,average_quantity_per_invoice,average_distinct_products_per_invoice,customer_tenure_days,first_purchase_date,last_purchase_date,recommended_marketing_action
12395,Likely B2C,2,Loyal customers,3,4,3,343,19,12,8,3018.63,251.5525,176.5,13.0,351,2010-12-03,2011-11-20,Encourage basket expansion with complementary products and reorder prompts.
12409,Likely B2C,2,Big spenders,1,1,5,115,79,3,2,11072.67,3690.89,1850.3333333333333,36.333333333333336,103,2011-06-10,2011-09-22,Promote premium assortments and personalized product recommendations.
12415,Likely B2B,4,At risk high value,2,5,5,255,24,21,11,124914.53,5948.310952380953,3698.5714285714284,34.095238095238095,313,2011-01-06,2011-11-15,Prioritize win-back outreach with tailored offers and account review.
12451,Likely B2C,2,Big spenders,3,2,5,325,11,5,4,9035.52,1807.104,1315.0,70.8,313,2011-01-19,2011-11-29,Promote premium assortments and personalized product recommendations.
12457,Likely B2C,0,Occasional buyers,1,3,3,133,66,7,3,2363.23,337.6042857142857,120.57142857142857,8.857142857142858,172,2011-04-14,2011-10-04,Test broad lifecycle campaigns and monitor for movement into stronger segments.
12471,Likely B2B,4,Champions,5,5,5,555,2,30,12,19824.05,660.8016666666666,273.73333333333335,15.3,362,2010-12-10,2011-12-07,"Retain and grow with loyalty offers, cross-sell, and early access campaigns."
12476,Likely B2B,4,Loyal customers,3,4,4,344,15,11,9,6816.42,619.6745454545454,218.9090909090909,21.09090909090909,345,2010-12-13,2011-11-24,Encourage basket expansion with complementary products and reorder prompts.
12481,Likely B2B,4,Big spenders,2,3,4,234,23,10,7,5596.320000000001,559.6320000000001,330.4,21.6,342,2010-12-09,2011-11-17,Promote premium assortments and personalized product recommendations.
12523,Likely B2C,2,Occasional buyers,3,4,2,342,19,11,9,1789.77,162.70636363636365,78.63636363636364,9.636363636363637,312,2011-01-12,2011-11-20,Test broad lifecycle campaigns and monitor for movement into stronger segments.
12540,Likely B2B,4,Loyal customers,3,4,5,345,20,17,11,13400.24,788.2494117647059,393.2352941176471,28.11764705882353,342,2010-12-13,2011-11-20,Encourage basket expansion with complementary products and reorder prompts.
12567,Likely B2B,4,Big spenders,2,3,5,235,23,10,7,9401.28,940.128,430.5,44.6,346,2010-12-05,2011-11-17,Promote premium assortments and personalized product recommendations.
12583,Likely B2B,4,Champions,4,4,4,444,3,15,12,7281.38,485.42533333333336,337.3333333333333,16.466666666666665,370,2010-12-01,2011-12-07,"Retain and grow with loyalty offers, cross-sell, and early access campaigns."
12610,Likely B2C,2,Hibernating low value,2,2,2,222,23,5,3,2099.54,419.908,209.8,21.2,103,2011-08-05,2011-11-17,Use low-cost reactivation campaigns; suppress if engagement stays low.
12619,Likely B2B,3,Mid-tier active,3,3,3,333,16,9,6,3641.2400000000002,404.58222222222224,375.3333333333333,10.0,237,2011-03-31,2011-11-23,Nurture toward higher frequency with targeted promotions and reminders.
12647,Likely B2C,2,At risk high value,2,4,4,244,22,12,8,3722.8199999999997,310.23499999999996,119.33333333333333,10.166666666666666,346,2010-12-05,2011-11-17,Prioritize win-back outreach with tailored offers and account review.
12681,Likely B2B,4,Loyal customers,3,5,5,355,15,22,10,13787.539999999999,626.7063636363636,342.54545454545456,29.0,353,2010-12-07,2011-11-25,Encourage basket expansion with complementary products and reorder prompts.
12704,Likely B2C,0,Mid-tier active,4,3,3,433,7,8,5,2340.84,292.605,125.75,11.0,162,2011-06-23,2011-12-02,Nurture toward higher frequency with targeted promotions and reminders.
12708,Likely B2C,2,Occasional buyers,2,3,3,233,30,10,9,2712.91,271.291,130.7,15.7,338,2010-12-06,2011-11-10,Test broad lifecycle campaigns and monitor for movement into stronger segments.
12748,Likely B2C,2,Champions,5,5,5,555,1,210,13,33719.73,160.57014285714288,122.60952380952381,20.404761904761905,372,2010-12-01,2011-12-09,"Retain and grow with loyalty offers, cross-sell, and early access campaigns."
12775,Likely B2C,0,Occasional buyers,3,2,2,322,17,5,5,1386.04,277.20799999999997,175.4,13.2,294,2011-02-01,2011-11-22,Test broad lifecycle campaigns and monitor for movement into stronger segments.
12783,Likely B2C,1,Recent low frequency,5,2,2,522,2,6,4,2225.91,370.98499999999996,104.0,14.0,73,2011-09-25,2011-12-07,"Push second-purchase campaigns, welcome journeys, and bundle incentives."
12829,Likely B2C,0,Hibernating low value,1,1,1,111,337,2,2,293.0,146.5,188.0,5.5,23,2010-12-14,2011-01-07,Use low-cost reactivation campaigns; suppress if engagement stays low.
12836,Likely B2C,2,Occasional buyers,1,1,3,113,59,4,4,2612.86,653.215,266.0,43.0,252,2011-02-01,2011-10-11,Test broad lifecycle campaigns and monitor for movement into stronger segments.
12856,Likely B2C,1,Recent low frequency,4,2,2,422,8,6,3,2179.93,363.32166666666666,179.83333333333334,51.0,55,2011-10-07,2011-12-02,"Push second-purchase campaigns, welcome journeys, and bundle incentives."
12901,Likely B2B,4,Loyal customers,3,5,5,355,9,28,10,17654.54,630.5192857142857,824.1071428571429,4.142857142857143,261,2011-03-14,2011-12-01,Encourage basket expansion with complementary products and reorder prompts.
