section,customer_id,quarter,order_volume,revenue_gbp,lifetime_revenue_gbp,country,city,marketing_opt_in,email_domain
National,12748,Q1,21,1987.78,33719.73,United Kingdom,York,False,yahoo.co.uk
National,12748,Q2,46,5341.13,33719.73,United Kingdom,York,False,yahoo.co.uk
National,12748,Q3,38,8160.35,33719.73,United Kingdom,York,False,yahoo.co.uk
National,12748,Q4,70,14002.34,33719.73,United Kingdom,York,False,yahoo.co.uk
National,12829,Q1,1,207.25,293.0,United Kingdom,Shrewsbury,False,gmail.com
National,12829,Q2,0,0.0,293.0,United Kingdom,Shrewsbury,False,gmail.com
National,12829,Q3,0,0.0,293.0,United Kingdom,Shrewsbury,False,gmail.com
National,12829,Q4,0,0.0,293.0,United Kingdom,Shrewsbury,False,gmail.com
National,12836,Q1,1,846.69,2612.86,United Kingdom,London,False,hotmail.co.uk
National,12836,Q2,1,814.71,2612.86,United Kingdom,London,False,hotmail.co.uk
National,12836,Q3,1,451.13,2612.86,United Kingdom,London,False,hotmail.co.uk
National,12836,Q4,1,500.33,2612.86,United Kingdom,London,False,hotmail.co.uk
National,12856,Q1,0,0.0,2179.93,United Kingdom,Edinburgh,False,sky.com
National,12856,Q2,0,0.0,2179.93,United Kingdom,Edinburgh,False,sky.com
National,12856,Q3,0,0.0,2179.93,United Kingdom,Edinburgh,False,sky.com
National,12856,Q4,6,2179.93,2179.93,United Kingdom,Edinburgh,False,sky.com
National,12901,Q1,3,3190.92,17654.54,United Kingdom,Canterbury,True,gmail.com
National,12901,Q2,13,6367.52,17654.54,United Kingdom,Canterbury,True,gmail.com
National,12901,Q3,4,3600.83,17654.54,United Kingdom,Canterbury,True,gmail.com
National,12901,Q4,8,4495.27,17654.54,United Kingdom,Canterbury,True,gmail.com
National,12921,Q1,7,3549.45,16587.09,United Kingdom,Bangor,False,outlook.com
National,12921,Q2,6,1834.07,16587.09,United Kingdom,Bangor,False,outlook.com
National,12921,Q3,12,5324.66,16587.09,United Kingdom,Bangor,False,outlook.com
National,12921,Q4,10,5191.110000000001,16587.09,United Kingdom,Bangor,False,outlook.com
National,12924,Q1,2,287.99,933.7,United Kingdom,Llandudno,True,hotmail.co.uk
National,12924,Q2,1,367.28,933.7,United Kingdom,Llandudno,True,hotmail.co.uk
National,12924,Q3,1,278.43,933.7,United Kingdom,Llandudno,True,hotmail.co.uk
National,12924,Q4,0,0.0,933.7,United Kingdom,Llandudno,True,hotmail.co.uk
National,12935,Q1,1,431.63,2160.7,United Kingdom,Llandudno,False,gmail.com
National,12935,Q2,1,434.6,2160.7,United Kingdom,Llandudno,False,gmail.com
National,12935,Q3,2,669.1099999999999,2160.7,United Kingdom,Llandudno,False,gmail.com
National,12935,Q4,3,625.36,2160.7,United Kingdom,Llandudno,False,gmail.com
National,12951,Q1,2,306.09,1064.07,United Kingdom,Leicester,False,gmail.com
National,12951,Q2,3,445.6900000000001,1064.07,United Kingdom,Leicester,False,gmail.com
National,12951,Q3,0,0.0,1064.07,United Kingdom,Leicester,False,gmail.com
National,12951,Q4,1,312.29,1064.07,United Kingdom,Leicester,False,gmail.com
National,12967,Q1,0,0.0,1660.9,United Kingdom,Glasgow,False,outlook.com
National,12967,Q2,0,0.0,1660.9,United Kingdom,Glasgow,False,outlook.com
National,12967,Q3,0,0.0,1660.9,United Kingdom,Glasgow,False,outlook.com
National,12967,Q4,0,0.0,1660.9,United Kingdom,Glasgow,False,outlook.com
National,12971,Q1,22,2397.82,11189.91,United Kingdom,Newquay,False,cust13081-group.co.uk
National,12971,Q2,18,2381.63,11189.91,United Kingdom,Newquay,False,cust13081-group.co.uk
National,12971,Q3,22,3438.16,11189.91,United Kingdom,Newquay,False,cust13081-group.co.uk
National,12971,Q4,19,2536.11,11189.91,United Kingdom,Newquay,False,cust13081-group.co.uk
National,12989,Q1,3,2149.0,6924.11,United Kingdom,Shrewsbury,True,cust13089-plc.co.uk
National,12989,Q2,3,976.44,6924.11,United Kingdom,Shrewsbury,True,cust13089-plc.co.uk
National,12989,Q3,2,1779.12,6924.11,United Kingdom,Shrewsbury,True,cust13089-plc.co.uk
National,12989,Q4,6,1817.05,6924.11,United Kingdom,Shrewsbury,True,cust13089-plc.co.uk
National,13077,Q1,2,263.72,729.27,United Kingdom,London,False,gmail.com
National,13077,Q2,0,0.0,729.27,United Kingdom,London,False,gmail.com
National,13077,Q3,0,0.0,729.27,United Kingdom,London,False,gmail.com
National,13077,Q4,1,151.83,729.27,United Kingdom,London,False,gmail.com
National,13078,Q1,5,2342.67,12627.94,United Kingdom,Nottingham,False,outlook.com
National,13078,Q2,5,2019.75,12627.94,United Kingdom,Nottingham,False,outlook.com
National,13078,Q3,5,3169.07,12627.94,United Kingdom,Nottingham,False,outlook.com
National,13078,Q4,9,4215.29,12627.94,United Kingdom,Nottingham,False,outlook.com
National,13081,Q1,4,7440.88,28337.38,United Kingdom,Leicester,False,yahoo.co.uk
National,13081,Q2,1,4655.85,28337.38,United Kingdom,Leicester,False,yahoo.co.uk
National,13081,Q3,1,4406.61,28337.38,United Kingdom,Leicester,False,yahoo.co.uk
National,13081,Q4,3,9467.26,28337.38,United Kingdom,Leicester,False,yahoo.co.uk
National,13089,Q1,22,14062.22,58825.83,United Kingdom,Stirling,False,gmail.com
National,13089,Q2,27,11672.49,58825.83,United Kingdom,Stirling,False,gmail.com
National,13089,Q3,21,14673.3,58825.83,United Kingdom,Stirling,False,gmail.com
National,13089,Q4,19,12464.61,58825.83,United Kingdom,Stirling,False,gmail.com
National,13110,Q1,3,732.49,1488.67,United Kingdom,Liverpool,False,sky.com
National,13110,Q2,0,0.0,1488.67,United Kingdom,Liverpool,False,sky.com
National,13110,Q3,2,309.7500000000001,1488.67,United Kingdom,Liverpool,False,sky.com
National,13110,Q4,2,446.43,1488.67,United Kingdom,Liverpool,False,sky.com
National,13115,Q1,0,0.0,2294.78,United Kingdom,Canterbury,True,sky.com
National,13115,Q2,1,878.55,2294.78,United Kingdom,Canterbury,True,sky.com
National,13115,Q3,0,0.0,2294.78,United Kingdom,Canterbury,True,sky.com
National,13115,Q4,3,1416.23,2294.78,United Kingdom,Canterbury,True,sky.com
National,13134,Q1,0,0.0,1793.58,United Kingdom,Belfast,False,yahoo.co.uk
National,13134,Q2,3,885.74,1793.58,United Kingdom,Belfast,False,yahoo.co.uk
National,13134,Q3,1,907.84,1793.58,United Kingdom,Belfast,False,yahoo.co.uk
National,13134,Q4,0,0.0,1793.58,United Kingdom,Belfast,False,yahoo.co.uk
National,13136,Q1,0,0.0,2607.61,United Kingdom,Nottingham,True,gmail.com
National,13136,Q2,1,574.46,2607.61,United Kingdom,Nottingham,True,gmail.com
National,13136,Q3,3,1573.62,2607.61,United Kingdom,Nottingham,True,gmail.com
National,13136,Q4,1,459.53,2607.61,United Kingdom,Nottingham,True,gmail.com
National,13199,Q1,8,1844.0,9817.12,United Kingdom,Birmingham,True,sky.com
National,13199,Q2,8,1609.76,9817.12,United Kingdom,Birmingham,True,sky.com
National,13199,Q3,4,574.6,9817.12,United Kingdom,Birmingham,True,sky.com
National,13199,Q4,16,5076.96,9817.12,United Kingdom,Birmingham,True,sky.com
National,13225,Q1,2,1998.16,6463.84,United Kingdom,Newcastle upon Tyne,False,hotmail.co.uk
National,13225,Q2,1,537.0,6463.84,United Kingdom,Newcastle upon Tyne,False,hotmail.co.uk
National,13225,Q3,1,557.6800000000001,6463.84,United Kingdom,Newcastle upon Tyne,False,hotmail.co.uk
National,13225,Q4,2,2164.28,6463.84,United Kingdom,Newcastle upon Tyne,False,hotmail.co.uk
National,13247,Q1,0,0.0,501.12,United Kingdom,Glasgow,True,icloud.com
National,13247,Q2,0,0.0,501.12,United Kingdom,Glasgow,True,icloud.com
National,13247,Q3,1,305.07,501.12,United Kingdom,Glasgow,True,icloud.com
National,13247,Q4,3,196.05,501.12,United Kingdom,Glasgow,True,icloud.com
National,13267,Q1,5,944.74,4521.49,United Kingdom,Leicester,True,icloud.com
National,13267,Q2,4,643.0999999999999,4521.49,United Kingdom,Leicester,True,icloud.com
National,13267,Q3,4,909.2,4521.49,United Kingdom,Leicester,True,icloud.com
National,13267,Q4,4,1402.15,4521.49,United Kingdom,Leicester,True,icloud.com
National,13269,Q1,0,0.0,5346.23,United Kingdom,Stirling,False,yahoo.co.uk
National,13269,Q2,4,1698.5,5346.23,United Kingdom,Stirling,False,yahoo.co.uk
National,13269,Q3,3,982.96,5346.23,United Kingdom,Stirling,False,yahoo.co.uk
National,13269,Q4,6,2002.6,5346.23,United Kingdom,Stirling,False,yahoo.co.uk
