InvoiceLineID,InvoiceNo,StockCode,Quantity,LineUnitPrice
1,536370,22728,24,3.75
2,536370,22727,24,3.75
3,536370,22726,12,3.75
4,536370,21724,12,0.85
5,536370,21883,24,0.65
6,536370,10002,48,0.85
7,536370,21791,24,1.25
8,536370,21035,18,2.95
9,536370,22326,24,2.95
10,536370,22629,24,1.95
11,536370,22659,24,1.95
12,536370,22631,24,1.95
13,536370,22661,20,0.85
14,536370,21731,24,1.65
15,536370,22900,24,2.95
16,536370,21913,12,3.75
17,536370,22540,24,0.42
18,536370,22544,24,0.42
19,536370,22492,36,0.65
20,536370,POST,3,18.0
21,536381,22139,23,4.25
22,536381,84854,5,4.95
23,536381,22411,10,1.95
24,536381,82567,2,2.1
25,536381,21672,6,1.25
26,536381,22774,24,1.25
27,536381,22771,24,1.25
28,536381,71270,1,1.25
29,536381,22262,1,0.85
30,536381,22637,1,2.55
31,536381,21934,10,1.65
32,536381,21169,3,1.69
33,536381,21166,1,1.95
34,536381,21175,2,2.1
35,536381,37444A,1,2.95
36,536381,37444C,1,2.95
37,536381,22086,4,2.95
38,536381,22083,1,2.95
39,536381,84971S,6,0.85
40,536381,71270,3,1.25
41,536381,47580,2,2.55
42,536381,22261,1,0.85
43,536381,84832,1,0.85
44,536381,22644,1,1.45
45,536381,21533,1,4.95
46,536381,21557,2,2.95
47,536381,15056BL,2,5.95
48,536381,15056N,2,5.95
49,536381,22646,4,1.45
50,536381,22176,1,2.95
51,536381,22438,1,1.95
52,536381,21731,2,1.65
53,536381,22778,3,3.95
54,536381,22719,36,1.06
55,536381,21523,10,6.75
56,536383,35004C,-1,4.65
57,536386,84880,36,4.95
58,536386,85099C,100,1.65
59,536386,85099B,100,1.65
60,536387,79321,192,3.82
61,536387,22780,192,3.37
62,536387,22779,192,3.37
63,536387,22466,432,1.45
64,536387,21731,432,1.25
65,536394,21506,24,0.42
66,536394,22633,96,1.85
67,536394,22866,96,1.85
68,536394,22865,96,1.85
69,536394,22632,96,1.85
70,536394,21485,12,4.95
71,536394,22349,12,3.75
72,536394,22558,48,1.25
73,536394,85152,12,2.1
74,536394,85123A,32,2.55
75,536394,22652,20,1.65
76,536437,21154,200,1.06
77,536437,22189,72,3.39
78,536437,17021,600,0.24
79,536437,22059,48,1.25
80,536437,22188,36,3.39
81,536437,84678,48,1.25
82,536521,22854,1,4.95
83,536543,22632,-1,2.1
84,536543,22355,-2,0.85
85,536557,21495,25,0.42
