invoice_line_id,invoice_no,invoice_date,customer_id,is_cancelled,invoice_total,stock_code,quantity,line_unit_price,line_total
1,536370,2010-12-01 08:45:00,12583,False,855.86,22728,24,3.75,90.0
2,536370,2010-12-01 08:45:00,12583,False,855.86,22727,24,3.75,90.0
3,536370,2010-12-01 08:45:00,12583,False,855.86,22726,12,3.75,45.0
4,536370,2010-12-01 08:45:00,12583,False,855.86,21724,12,0.85,10.2
5,536370,2010-12-01 08:45:00,12583,False,855.86,21883,24,0.65,15.600000000000001
6,536370,2010-12-01 08:45:00,12583,False,855.86,10002,48,0.85,40.8
7,536370,2010-12-01 08:45:00,12583,False,855.86,21791,24,1.25,30.0
8,536370,2010-12-01 08:45:00,12583,False,855.86,21035,18,2.95,53.1
9,536370,2010-12-01 08:45:00,12583,False,855.86,22326,24,2.95,70.80000000000001
10,536370,2010-12-01 08:45:00,12583,False,855.86,22629,24,1.95,46.8
11,536370,2010-12-01 08:45:00,12583,False,855.86,22659,24,1.95,46.8
12,536370,2010-12-01 08:45:00,12583,False,855.86,22631,24,1.95,46.8
13,536370,2010-12-01 08:45:00,12583,False,855.86,22661,20,0.85,17.0
14,536370,2010-12-01 08:45:00,12583,False,855.86,21731,24,1.65,39.599999999999994
15,536370,2010-12-01 08:45:00,12583,False,855.86,22900,24,2.95,70.80000000000001
16,536370,2010-12-01 08:45:00,12583,False,855.86,21913,12,3.75,45.0
17,536370,2010-12-01 08:45:00,12583,False,855.86,22540,24,0.42,10.08
18,536370,2010-12-01 08:45:00,12583,False,855.86,22544,24,0.42,10.08
19,536370,2010-12-01 08:45:00,12583,False,855.86,22492,36,0.65,23.400000000000002
20,536370,2010-12-01 08:45:00,12583,False,855.86,POST,3,18.0,54.0
21,536381,2010-12-01 09:41:00,15311,False,449.98,22139,23,4.25,97.75
22,536381,2010-12-01 09:41:00,15311,False,449.98,84854,5,4.95,24.75
23,536381,2010-12-01 09:41:00,15311,False,449.98,22411,10,1.95,19.5
24,536381,2010-12-01 09:41:00,15311,False,449.98,82567,2,2.1,4.2
25,536381,2010-12-01 09:41:00,15311,False,449.98,21672,6,1.25,7.5
26,536381,2010-12-01 09:41:00,15311,False,449.98,22774,24,1.25,30.0
27,536381,2010-12-01 09:41:00,15311,False,449.98,22771,24,1.25,30.0
28,536381,2010-12-01 09:41:00,15311,False,449.98,71270,1,1.25,1.25
29,536381,2010-12-01 09:41:00,15311,False,449.98,22262,1,0.85,0.85
30,536381,2010-12-01 09:41:00,15311,False,449.98,22637,1,2.55,2.55
31,536381,2010-12-01 09:41:00,15311,False,449.98,21934,10,1.65,16.5
32,536381,2010-12-01 09:41:00,15311,False,449.98,21169,3,1.69,5.07
33,536381,2010-12-01 09:41:00,15311,False,449.98,21166,1,1.95,1.95
34,536381,2010-12-01 09:41:00,15311,False,449.98,21175,2,2.1,4.2
35,536381,2010-12-01 09:41:00,15311,False,449.98,37444A,1,2.95,2.95
36,536381,2010-12-01 09:41:00,15311,False,449.98,37444C,1,2.95,2.95
37,536381,2010-12-01 09:41:00,15311,False,449.98,22086,4,2.95,11.8
38,536381,2010-12-01 09:41:00,15311,False,449.98,22083,1,2.95,2.95
39,536381,2010-12-01 09:41:00,15311,False,449.98,84971S,6,0.85,5.1
40,536381,2010-12-01 09:41:00,15311,False,449.98,71270,3,1.25,3.75
41,536381,2010-12-01 09:41:00,15311,False,449.98,47580,2,2.55,5.1
42,536381,2010-12-01 09:41:00,15311,False,449.98,22261,1,0.85,0.85
43,536381,2010-12-01 09:41:00,15311,False,449.98,84832,1,0.85,0.85
44,536381,2010-12-01 09:41:00,15311,False,449.98,22644,1,1.45,1.45
45,536381,2010-12-01 09:41:00,15311,False,449.98,21533,1,4.95,4.95
46,536381,2010-12-01 09:41:00,15311,False,449.98,21557,2,2.95,5.9
47,536381,2010-12-01 09:41:00,15311,False,449.98,15056BL,2,5.95,11.9
48,536381,2010-12-01 09:41:00,15311,False,449.98,15056N,2,5.95,11.9
49,536381,2010-12-01 09:41:00,15311,False,449.98,22646,4,1.45,5.8
50,536381,2010-12-01 09:41:00,15311,False,449.98,22176,1,2.95,2.95
51,536381,2010-12-01 09:41:00,15311,False,449.98,22438,1,1.95,1.95
52,536381,2010-12-01 09:41:00,15311,False,449.98,21731,2,1.65,3.3
53,536381,2010-12-01 09:41:00,15311,False,449.98,22778,3,3.95,11.850000000000001
54,536381,2010-12-01 09:41:00,15311,False,449.98,22719,36,1.06,38.160000000000004
55,536381,2010-12-01 09:41:00,15311,False,449.98,21523,10,6.75,67.5
56,536383,2010-12-01 09:49:00,15311,True,-4.65,35004C,-1,4.65,-4.65
57,536386,2010-12-01 09:57:00,16029,False,508.2000000000001,84880,36,4.95,178.20000000000002
58,536386,2010-12-01 09:57:00,16029,False,508.2000000000001,85099C,100,1.65,165.0
59,536386,2010-12-01 09:57:00,16029,False,508.2000000000001,85099B,100,1.65,165.0
60,536387,2010-12-01 09:58:00,16029,False,3193.92,79321,192,3.82,733.4399999999999
61,536387,2010-12-01 09:58:00,16029,False,3193.92,22780,192,3.37,647.04
62,536387,2010-12-01 09:58:00,16029,False,3193.92,22779,192,3.37,647.04
63,536387,2010-12-01 09:58:00,16029,False,3193.92,22466,432,1.45,626.4
64,536387,2010-12-01 09:58:00,16029,False,3193.92,21731,432,1.25,540.0
65,536394,2010-12-01 10:39:00,13408,False,1024.68,21506,24,0.42,10.08
66,536394,2010-12-01 10:39:00,13408,False,1024.68,22633,96,1.85,177.60000000000002
67,536394,2010-12-01 10:39:00,13408,False,1024.68,22866,96,1.85,177.60000000000002
68,536394,2010-12-01 10:39:00,13408,False,1024.68,22865,96,1.85,177.60000000000002
69,536394,2010-12-01 10:39:00,13408,False,1024.68,22632,96,1.85,177.60000000000002
70,536394,2010-12-01 10:39:00,13408,False,1024.68,21485,12,4.95,59.400000000000006
71,536394,2010-12-01 10:39:00,13408,False,1024.68,22349,12,3.75,45.0
72,536394,2010-12-01 10:39:00,13408,False,1024.68,22558,48,1.25,60.0
73,536394,2010-12-01 10:39:00,13408,False,1024.68,85152,12,2.1,25.200000000000003
74,536394,2010-12-01 10:39:00,13408,False,1024.68,85123A,32,2.55,81.6
75,536394,2010-12-01 10:39:00,13408,False,1024.68,22652,20,1.65,33.0
76,536437,2010-12-01 12:12:00,13694,False,842.12,21154,200,1.06,212.0
77,536437,2010-12-01 12:12:00,13694,False,842.12,22189,72,3.39,244.08
78,536437,2010-12-01 12:12:00,13694,False,842.12,17021,600,0.24,144.0
79,536437,2010-12-01 12:12:00,13694,False,842.12,22059,48,1.25,60.0
80,536437,2010-12-01 12:12:00,13694,False,842.12,22188,36,3.39,122.04
81,536437,2010-12-01 12:12:00,13694,False,842.12,84678,48,1.25,60.0
82,536521,2010-12-01 12:48:00,12748,False,4.95,22854,1,4.95,4.95
83,536543,2010-12-01 14:30:00,17841,True,-3.8,22632,-1,2.1,-2.1
84,536543,2010-12-01 14:30:00,17841,True,-3.8,22355,-2,0.85,-1.7
85,536557,2010-12-01 14:41:00,17841,False,537.38,21495,25,0.42,10.5
86,536557,2010-12-01 14:41:00,17841,False,537.38,46000R,2,1.45,2.9
87,536557,2010-12-01 14:41:00,17841,False,537.38,46000S,1,1.45,1.45
88,536557,2010-12-01 14:41:00,17841,False,537.38,22731,1,1.25,1.25
89,536557,2010-12-01 14:41:00,17841,False,537.38,21258,1,12.75,12.75
90,536557,2010-12-01 14:41:00,17841,False,537.38,21041,1,2.95,2.95
91,536557,2010-12-01 14:41:00,17841,False,537.38,84920,1,3.75,3.75
92,536557,2010-12-01 14:41:00,17841,False,537.38,22173,1,2.95,2.95
93,536557,2010-12-01 14:41:00,17841,False,537.38,22953,1,1.25,1.25
94,536557,2010-12-01 14:41:00,17841,False,537.38,84508A,1,2.55,2.55
95,536557,2010-12-01 14:41:00,17841,False,537.38,22471,1,4.95,4.95
96,536557,2010-12-01 14:41:00,17841,False,537.38,21935,4,1.65,6.6
97,536557,2010-12-01 14:41:00,17841,False,537.38,21670,6,1.25,7.5
98,536557,2010-12-01 14:41:00,17841,False,537.38,20668,24,0.12,2.88
99,536557,2010-12-01 14:41:00,17841,False,537.38,21672,1,1.25,1.25
100,536557,2010-12-01 14:41:00,17841,False,537.38,22553,1,1.65,1.65
101,536557,2010-12-01 14:41:00,17841,False,537.38,22041,4,2.55,10.2
102,536557,2010-12-01 14:41:00,17841,False,537.38,20972,2,1.25,2.5
103,536557,2010-12-01 14:41:00,17841,False,537.38,22568,1,3.75,3.75
104,536557,2010-12-01 14:41:00,17841,False,537.38,22570,1,3.75,3.75
105,536557,2010-12-01 14:41:00,17841,False,537.38,22730,1,3.75,3.75
106,536557,2010-12-01 14:41:00,17841,False,537.38,20749,1,7.95,7.95
107,536557,2010-12-01 14:41:00,17841,False,537.38,22785,1,6.75,6.75
108,536557,2010-12-01 14:41:00,17841,False,537.38,22786,2,5.95,11.9
109,536557,2010-12-01 14:41:00,17841,False,537.38,85064,2,5.45,10.9
110,536557,2010-12-01 14:41:00,17841,False,537.38,22212,1,2.1,2.1
111,536557,2010-12-01 14:41:00,17841,False,537.38,21486,2,3.75,7.5
112,536557,2010-12-01 14:41:00,17841,False,537.38,22114,2,3.95,7.9
113,536557,2010-12-01 14:41:00,17841,False,537.38,21485,1,4.95,4.95
114,536557,2010-12-01 14:41:00,17841,False,537.38,84029E,1,3.75,3.75
115,536557,2010-12-01 14:41:00,17841,False,537.38,22678,3,1.25,3.75
116,536557,2010-12-01 14:41:00,17841,False,537.38,22686,1,1.25,1.25
117,536557,2010-12-01 14:41:00,17841,False,537.38,22468,1,6.75,6.75
118,536557,2010-12-01 14:41:00,17841,False,537.38,85232B,1,4.95,4.95
119,536557,2010-12-01 14:41:00,17841,False,537.38,21479,5,3.75,18.75
120,536557,2010-12-01 14:41:00,17841,False,537.38,84029G,2,3.75,7.5
121,536557,2010-12-01 14:41:00,17841,False,537.38,22837,5,4.65,23.25
122,536557,2010-12-01 14:41:00,17841,False,537.38,22112,2,4.95,9.9
123,536557,2010-12-01 14:41:00,17841,False,537.38,22835,1,4.65,4.65
124,536557,2010-12-01 14:41:00,17841,False,537.38,21485,2,4.95,9.9
125,536557,2010-12-01 14:41:00,17841,False,537.38,22111,7,4.95,34.65
126,536557,2010-12-01 14:41:00,17841,False,537.38,22667,1,2.95,2.95
127,536557,2010-12-01 14:41:00,17841,False,537.38,22666,1,2.95,2.95
128,536557,2010-12-01 14:41:00,17841,False,537.38,21259,4,5.95,23.8
129,536557,2010-12-01 14:41:00,17841,False,537.38,22941,1,8.5,8.5
130,536557,2010-12-01 14:41:00,17841,False,537.38,82484,1,6.45,6.45
131,536557,2010-12-01 14:41:00,17841,False,537.38,84685,1,3.75,3.75
132,536557,2010-12-01 14:41:00,17841,False,537.38,21363,1,4.95,4.95
133,536557,2010-12-01 14:41:00,17841,False,537.38,85232B,1,4.95,4.95
134,536557,2010-12-01 14:41:00,17841,False,537.38,22755,11,0.85,9.35
