invoice_line_id,invoice_no,invoice_date,customer_id,is_cancelled,invoice_total,stock_code,quantity,line_unit_price,line_total,flag_zero_price,flag_zero_total,flag_negative_quantity,flag_negative_line_total,flag_negative_invoice_total,flag_cancel_sign_mismatch,flag_duplicate_like_line,flag_outlier_invoice_total,flag_outlier_quantity,flag_outlier_line_unit_price,flag_outlier_line_total
1,536370,2010-12-01 08:45:00,12583,False,855.86,22728,24,3.75,90.0,False,False,False,False,False,False,False,False,False,False,True
2,536370,2010-12-01 08:45:00,12583,False,855.86,22727,24,3.75,90.0,False,False,False,False,False,False,False,False,False,False,True
3,536370,2010-12-01 08:45:00,12583,False,855.86,22726,12,3.75,45.0,False,False,False,False,False,False,False,False,False,False,False
4,536370,2010-12-01 08:45:00,12583,False,855.86,21724,12,0.85,10.2,False,False,False,False,False,False,False,False,False,False,False
5,536370,2010-12-01 08:45:00,12583,False,855.86,21883,24,0.65,15.6,False,False,False,False,False,False,False,False,False,False,False
6,536370,2010-12-01 08:45:00,12583,False,855.86,10002,48,0.85,40.8,False,False,False,False,False,False,False,False,True,False,False
7,536370,2010-12-01 08:45:00,12583,False,855.86,21791,24,1.25,30.0,False,False,False,False,False,False,False,False,False,False,False
8,536370,2010-12-01 08:45:00,12583,False,855.86,21035,18,2.95,53.1,False,False,False,False,False,False,False,False,False,False,True
9,536370,2010-12-01 08:45:00,12583,False,855.86,22326,24,2.95,70.80000000000001,False,False,False,False,False,False,False,False,False,False,True
10,536370,2010-12-01 08:45:00,12583,False,855.86,22629,24,1.95,46.8,False,False,False,False,False,False,False,False,False,False,False
11,536370,2010-12-01 08:45:00,12583,False,855.86,22659,24,1.95,46.8,False,False,False,False,False,False,False,False,False,False,False
12,536370,2010-12-01 08:45:00,12583,False,855.86,22631,24,1.95,46.8,False,False,False,False,False,False,False,False,False,False,False
13,536370,2010-12-01 08:45:00,12583,False,855.86,22661,20,0.85,17.0,False,False,False,False,False,False,False,False,False,False,False
14,536370,2010-12-01 08:45:00,12583,False,855.86,21731,24,1.65,39.6,False,False,False,False,False,False,False,False,False,False,False
15,536370,2010-12-01 08:45:00,12583,False,855.86,22900,24,2.95,70.80000000000001,False,False,False,False,False,False,False,False,False,False,True
