StockCode,product_name,total_order_volume,total_revenue,num_customers
23843,"Little Birdie Paper Craft – Papercrafting supplies for scrapbooking and card making (papers, cardstock, and embellishments).",80995,168469.6,1
22197,Popcorn Holder – Popcorn serving bowl for movie-night snacks.,18251,13368.869999999995,40
85099B,"Jumbo Bag Red Retrospot – Large capacity tote bag featuring the Red Retrospot print, ideal for shopping and storage.",13021,23576.129999999943,78
84077,World War II Gliders – Assorted WWII Aircraft Design Toy Gliders for Throw-and-Glide Play,12054,2900.4600000000014,33
85123A,White Hanging Heart Tealight Holder – Heart-shaped hanging tealight holder for romantic décor and ambient lighting.,11878,33576.84000000002,83
21212,Retrospot Cake Cases (72-Pack) – Decorative cupcake liners featuring the Retrospot print.,10191,4715.849999999991,79
23084,"Rabbit Night Light – Bunny-shaped LED night light for kids' rooms with a soft, warm glow.",9651,18403.679999999957,48
22492,Vintage-Inspired Mini Paint Set – Compact art kit with retro palette; portable for travel and beginners.,8355,4804.350000000002,23
22178,Victorian Glass Hanging Tealight Holder – Ornate Victorian-style glass tealight holder designed to hang from walls or ceilings; provides warm ambient candlelight.,8304,9434.48,46
22629,"Spaceboy Lunch Box – Space-Themed Kids' Lunch Box with Durable, Easy-to-Clean Design.",7722,13052.699999999992,42
21977,Pink Paisley Cake Cases (60-Pack) – Disposable pink paisley-patterned cupcake liners for baking.,7684,3500.799999999998,48
22469,Heart of Wicker Small – Handwoven wicker heart ornament for rustic home decor.,7445,13427.579999999993,60
22630,Dolly Girl Lunch Box – Insulated kids' lunch box with Dolly Girl design and leak-proof lid.,7120,11997.59999999999,35
21787,Retrospot Rain Poncho – Waterproof poncho featuring the Retrospot design.,6775,5297.949999999999,20
84879,Multicoloured Bird Ornaments – Assorted bird-shaped Christmas tree decorations in a range of colours.,6571,10594.270000000035,66
22189,"Cream Heart Card Holder – Cream-colored, heart-shaped card holder for IDs and cards; compact, stylish accessory.",6369,15700.269999999997,24
20971,"Pink and Blue Felt Craft Trinket Box – Small, decorative felt storage box for trinkets, jewelry and small craft supplies.",6137,6604.21,27
71459,Hanging Jam Jar Tealight Holder – Rustic glass jam jar tealight holder with hanging loop for warm ambient lighting.,6013,4469.889999999995,32
20725,Red Retrospot Lunch Bag – Insulated lunch bag featuring the classic red polka-dot Retrospot design.,5926,9053.899999999998,63
22386,"Pink Polka Dot Jumbo Bag – Extra-large tote bag with pink polka-dot print, ideal for shopping, travel and everyday use.",5881,10632.899999999994,45
21731,Red Toadstool LED Night Light – Mushroom-shaped LED night light for kids’ rooms with a soft red glow.,5641,8280.45000000001,31
84946,"Antique Silver Tealight Glass Holder – Glass tealight holder finished in antique silver, perfect for tea lights and votive candles.",5555,6189.07,42
23203,Vintage Doily Jumbo Tote Bag – Extra-large tote bag featuring a retro doily pattern.,5458,10433.939999999997,72
22693,"Tin Can Grow Kit (Flytrap or Sunflower) – Compact, beginner-friendly kit to grow a Venus flytrap or sunflower in a tin.",5400,5262.0,18
22470,Large Wicker Heart – Handwoven rustic wicker heart decor for home or garden.,5394,16387.24000000001,52
22423,Regency 3-Tier Cake Stand – Elegant vintage-style display stand for layered cakes and desserts.,5228,58182.59999999997,89
21181,"Please One Person Metal Sign – Durable metal sign with “Please One Person” message for queue management; suitable for indoor or outdoor use in shops, offices, and entrances.",5132,10192.32,41
84212,"Assorted Flower Colour Leis – Multicoloured Hawaiian flower leis for tropical-themed parties, luaus, and events.",4927,2264.1499999999996,14
M,Instruction Manual – General User Guide and Quick-Start Instructions.,4865,9938.81,23
